"participant";"environment";"trial";"option";"attribute"
44;"compensatory";11;1;"s"
44;"compensatory";11;1;"f"
44;"compensatory";11;1;"p"
44;"compensatory";11;1;"p"
44;"compensatory";11;1;"b"
44;"compensatory";11;1;"b"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"f"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;4;"b"
44;"compensatory";11;4;"b"
44;"compensatory";11;4;"p"
44;"compensatory";11;4;"s"
44;"compensatory";11;4;"s"
44;"compensatory";11;4;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;1;"s"
44;"compensatory";11;1;"s"
44;"compensatory";11;3;"s"
44;"compensatory";11;3;"s"
44;"compensatory";11;3;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"f"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"p"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"s"
44;"compensatory";11;2;"s"
44;"compensatory";12;4;"s"
44;"compensatory";12;4;"b"
44;"compensatory";12;4;"f"
44;"compensatory";12;4;"p"
44;"compensatory";12;4;"s"
44;"compensatory";12;4;"s"
44;"compensatory";12;4;"s"
44;"compensatory";12;3;"s"
44;"compensatory";12;3;"s"
44;"compensatory";12;2;"s"
44;"compensatory";12;2;"s"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"p"
44;"compensatory";12;1;"p"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"s"
44;"compensatory";12;1;"b"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"b"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"p"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"f"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;3;"s"
44;"compensatory";13;4;"f"
44;"compensatory";13;4;"s"
44;"compensatory";13;4;"s"
44;"compensatory";13;1;"s"
44;"compensatory";13;2;"s"
44;"compensatory";13;2;"s"
44;"compensatory";13;1;"b"
44;"compensatory";13;1;"b"
44;"compensatory";13;1;"p"
44;"compensatory";13;1;"f"
44;"compensatory";13;2;"s"
44;"compensatory";13;2;"s"
44;"compensatory";13;2;"p"
44;"compensatory";13;2;"b"
44;"compensatory";13;2;"f"
